---
0.000,4.930,-3.141593
0.000,5.070,-3.141593
-0.688,4.882,-3.001593
-1.057,4.959,-2.931593
-1.362,4.738,-2.861593
-1.738,4.763,-2.791593
-2.010,4.502,-2.721593
-2.386,4.473,-2.651593
-2.619,4.177,-2.581593
-2.987,4.097,-2.511593
-3.176,3.771,-2.441593
-3.529,3.640,-2.371593
-3.671,3.291,-2.301593
-4.003,3.112,-2.231593
-4.094,2.746,-2.161593
-4.398,2.523,-2.091593
-4.437,2.148,-2.021593
-4.707,1.884,-1.951593
-4.694,1.508,-1.881593
-4.924,1.209,-1.811593
-4.858,0.838,-1.741593
-5.044,0.510,-1.671593
-4.928,0.152,-1.601593
-5.066,-0.199,-1.531593
-4.901,-0.537,-1.461593
-4.989,-0.904,-1.391593
-4.778,-1.216,-1.321593
-4.814,-1.591,-1.251593
-4.561,-1.871,-1.181593
-4.545,-2.247,-1.111593
-4.256,-2.489,-1.041593
-4.187,-2.859,-0.971593
-3.867,-3.058,-0.901593
-3.747,-3.416,-0.831593
-3.402,-3.568,-0.761593
-3.233,-3.905,-0.691593
-2.871,-4.008,-0.621593
-2.657,-4.318,-0.551593
-2.284,-4.369,-0.481593
-2.028,-4.647,-0.411593
-1.651,-4.645,-0.341593
-1.360,-4.884,-0.271593
-0.987,-4.830,-0.201593
-0.665,-5.026,-0.131593
-0.303,-4.921,-0.061593
0.043,-5.070,0.008407
0.386,-4.915,0.078407
0.750,-5.014,0.148407
1.068,-4.813,0.218407
1.442,-4.861,0.288407
1.729,-4.617,0.358407
2.106,-4.612,0.428407
2.357,-4.330,0.498407
2.729,-4.273,0.568407
2.938,-3.959,0.638407
3.299,-3.850,0.708407
3.462,-3.510,0.778407
3.804,-3.352,0.848407
3.918,-2.993,0.918407
4.234,-2.789,0.988407
4.297,-2.417,1.058407
4.582,-2.170,1.128407
4.592,-1.794,1.198407
4.840,-1.510,1.268407
4.797,-1.135,1.338407
5.003,-0.820,1.408407
4.909,-0.455,1.478407
5.069,-0.114,1.548407
4.924,0.235,1.618407
5.035,0.595,1.688407
4.843,0.920,1.758407
4.903,1.292,1.828407
4.668,1.586,1.898407
4.674,1.963,1.968407
4.401,2.222,2.038407
4.355,2.596,2.108407
4.048,2.815,2.178407
3.950,3.179,2.248407
3.615,3.352,2.318407
3.468,3.699,2.388407
3.112,3.824,2.458407
2.918,4.146,2.528407
2.548,4.220,2.598407
2.311,4.513,2.668407
1.934,4.535,2.738407
1.658,4.791,2.808407
1.283,4.760,2.878407
0.973,4.976,2.948407
0.606,4.893,3.018407
---
